Name,Score,Fairway Hits,C1 Reg,C2 Reg,C1 Putting,C2 Putting,OB
Parker Welck,31,0.79,0.59,0.76,0.84,0.5,8
Calvin Heimburg,30,0.87,0.57,0.81,0.93,0.23,3
Matthew Orum,27,0.84,0.46,0.74,0.84,0.47,5
Alden Harris,27,0.87,0.56,0.74,0.9,0.33,3
Evan Smith,27,0.87,0.56,0.78,0.78,0.57,7
Ezra Robinson,25,0.9,0.56,0.72,0.91,0.27,6
Ricky Wysocki,25,0.76,0.57,0.7,0.84,0.36,11
Ben Callaway,24,0.76,0.46,0.7,1,0.2,10
Emerson Keith,22,0.79,0.54,0.69,0.81,0.38,9
Joel Freeman,22,0.83,0.52,0.74,0.89,0.33,7
Mason Marchbanks,22,0.89,0.5,0.74,0.79,0.36,5
