Name,Score,Fairway Hits,C1 Reg,C2 Reg,C1 Putting,C2 Putting,OB
Gannon Buhr,19,0.85,0.64,0.75,0.8,0.5,3
Issac Robinson,16,0.78,0.47,0.69,1,0.5,5
Gavin Babcock,15,0.78,0.61,0.67,0.86,0,5
Gregg Barsby,15,0.8,0.53,0.75,0.88,0.25,5
Calvin Heimburg,15,0.8,0.53,0.72,0.89,0.38,5
Ezra Robinson,15,0.85,0.53,0.75,0.8,0.25,2
Simon Lizotte,14,0.85,0.44,0.75,0.9,0.25,2
Anthony Barela,14,0.83,0.47,0.67,0.83,0.5,2
Kevin Jones,13,0.85,0.47,0.69,0.87,0.3,4
Brodie Smith,11,0.8,0.5,0.67,0.83,0.3,7
Chris Clemons,11,0.7,0.31,0.56,0.93,0.45,3
