Name,Score,Fairway Hits,C1 Reg,C2 Reg,C1 Putting,C2 Putting,OB
Calvin Heimburg,31,0.91,0.56,0.87,0.9,0.2,1
Eagle McMahon,28,0.81,0.57,0.78,0.84,0.34,3
Issac Robinson,28,0.91,0.52,0.78,0.93,0.31,3
Ben Callaway,28,0.93,0.54,0.81,0.91,0.39,4
Corey Ellis,26,0.79,0.59,0.78,0.77,0.17,3
Kyle Klein,26,0.81,0.57,0.69,0.93,0.38,4
Bradley Williams,26,0.86,0.52,0.7,0.87,0.2,1
Andrew Presnell,26,0.88,0.52,0.76,0.87,0.08,2
James Conrad,26,0.86,0.43,0.74,0.88,0.42,1
Gannon Buhr,25,0.81,0.43,0.69,0.84,0.53,1
