Name,Score,Fairway Hits,C1 Reg,C2 Reg,C1 Putting,C2 Putting,OB
Calvin Heimburg,31,0.8,0.51,0.79,0.78,0.36,10
Kevin Jones,29,0.73,0.47,0.69,0.94,0.17,7
Ezra Aderhold,29,0.76,0.47,0.75,0.81,0.14,2
Kyle Klein,28,0.76,0.54,0.72,0.76,0.27,7
Drew Gibson,28,0.74,0.5,0.72,0.86,0.27,10
Paul McBeth,27,0.7,0.46,0.67,0.89,0.47,12
Zach Arlinghuas,26,0.76,0.4,0.72,0.88,0.26,6
Anthony Barela,25,0.72,0.5,0.72,0.79,0.05,11
Emerson Keith,25,0.74,0.5,0.68,0.8,0.24,7
Corey Ellis,25,0.62,0.46,0.68,0.86,0.33,13
Matthew Orum,25,0.79,0.48,0.74,0.67,0.24,7
Matt Bell,25,0.68,0.39,0.65,0.89,0.22,7
