Name,Score,Fairway Hits,C1 Reg,C2 Reg,C1 Putting,C2 Putting,OB
Simon Lizotte,23,0.8,0.5,0.61,0.85,0.14,3
Anthony Barela,22,0.8,0.48,0.76,0.75,0.31,4
Chris Dickerson,21,0.87,0.33,0.7,0.9,0.3,1
Gannon Buhr,21,0.83,0.52,0.72,0.72,0.36,2
Calvin Heimburg,21,0.82,0.5,0.63,0.84,0.45,3
James Proctor,20,0.82,0.43,0.61,0.93,0.21,3
Austin Turner,19,0.8,0.54,0.74,0.74,0.09,3
Ricky Wysocki,18,0.87,0.48,0.8,0.82,0.25,3
Isacc Robinson,17,0.83,0.5,0.7,0.76,0.14,0
Joel Freeman,17,0.77,0.43,0.59,0.85,0.18,3
