Name,Score,Fairway Hits,C1 Reg,C2 Reg,C1 Putting,C2 Putting,OB
Emerson Keith,23,0.87,0.46,0.67,0.92,0.31,3
Gannon Buhr,21,0.88,0.48,0.69,0.97,0.42,8
Issac Robinson,18,0.83,0.43,0.65,0.83,0.44,4
Cole Redalen,18,0.9,0.43,0.7,0.83,0.19,2
Aaron Gossage,18,0.85,0.54,0.74,0.68,0.15,4
James Proctor,17,0.88,0.39,0.61,0.91,0.4,7
Anthony Barela,17,0.8,0.46,0.67,0.76,0.43,7
Calvin Heimburg,17,0.82,0.43,0.74,0.7,0.29,5
Vaino Makela,16,0.87,0.37,0.67,0.76,0.39,3
Gavin Rathbun,15,0.83,0.48,0.63,0.94,0.33,11
Jake Hebenheimer,15,0.82,0.43,0.69,0.67,0.25,6
Garrett Gurthie,15,0.78,0.33,0.67,0.96,0.22,9
