Name,Score,Fairway Hits,C1 Reg,C2 Reg,C1 Putting,C2 Putting,OB
Adam Hammes,30,0.75,0.42,0.68,0.95,0.36,6
Aaron Gossage,30,0.85,0.42,0.75,0.79,0.26,1
Corey Ellis,29,0.76,0.42,0.61,0.89,0.53,6
Issac Robinson,28,0.79,0.4,0.63,0.86,0.5,7
James Proctor,25,0.7,0.36,0.53,0.98,0.35,8
Alden Harris,25,0.71,0.38,0.6,0.88,0.35,4
Calvin Heimburg,24,0.76,0.42,0.61,0.84,0.35,7
Ezra Aderhold,24,0.79,0.39,0.6,0.87,0.32,3
Ricky Wysocki,22,0.76,0.38,0.67,0.86,0.33,8
Gannon Buhr,22,0.79,0.38,0.68,0.86,0.15,4
