Name,Score,Fairway Hits,C1 Reg,C2 Reg,C1 Putting,C2 Putting,OB
Kyle Klein,31,0.8,0.59,0.72,0.9,0.38,2
Adam Hammes,29,0.87,0.54,0.74,0.85,0.42,0
Calvin Heimburg,28,0.81,0.63,0.76,0.83,0.18,0
Cole Redalen,28,0.85,0.67,0.74,0.84,0.33,5
Kevin Jones,27,0.81,0.59,0.72,0.85,0.33,0
James Conrad,26,0.83,0.54,0.67,0.85,0.42,4
Cale Leiviska,25,0.8,0.52,0.7,0.76,0.3,0
Matthew Orum,25,0.78,0.65,0.74,0.72,0.2,3
Nate Sexton,24,0.7,0.54,0.69,0.86,0.18,2
James Proctor,23,0.89,0.5,0.72,0.81,0.38,1
Bradley Williams,23,0.78,0.59,0.67,0.76,0,3
Joel Freeman,23,0.81,0.57,0.72,0.67,0.33,1
